SMS,HAM-SPAM
Babe ? I lost you ... :-(,Ham
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,Ham
Oh ok wait 4 me there... My lect havent finish,Ham
Ill be there on  &lt;#&gt;  ok.,Ham
What is this 'hex' place you talk of? Explain!,Ham
Excellent! Wish we were together right now!,Ham
"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",Ham
Did u got that persons story,Ham
K actually can you guys meet me at the sunoco on howard? It should be right on the way,Ham
"He will, you guys close?",Ham
Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,Ham
Blank is Blank. But wat is blank? Lol,Ham
This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,Spam
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",Ham
Ugh. Gotta drive back to sd from la. My butt is sore.,Ham
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",Spam
"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",Ham
Mmmm.... I cant wait to lick it!,Ham
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",Ham
Well I'm going to be an aunty!,Ham
Oops my phone died and I didn't even know. Yeah I like it better.,Ham
Should i send you naughty pix? :),Ham
No go. No openings for that room 'til after thanksgiving without an upcharge.,Ham
Sent me ur email id soon,Ham
5 nights...We nt staying at port step liao...Too ex,Ham
U ned to convince him tht its not possible witot hurting his feeling its the main,Ham
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,Spam
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",Spam
I'm reaching home in 5 min.,Ham
"Yo my trip got postponed, you still stocked up?",Ham
Hi :)finally i completed the course:),Ham
Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,Ham
Yup but it's not giving me problems now so mayb i'll jus leave it...,Ham
That's y i said it's bad dat all e gals know u... Wat u doing now?,Ham
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",Spam
"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",Ham
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,Ham
If u sending her home first it's ok lor. I'm not ready yet.,Ham
"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",Ham
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,Ham
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,Ham
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",Spam
Wow v v impressed. Have funs shopping!,Ham
I will reach ur home in  &lt;#&gt;  minutes,Ham
1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,Ham
"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",Ham
Studying. But i.ll be free next weekend.,Ham
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Ham
"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",Ham
Don know..wait i will check it.,Ham
Ok lor.,Ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,Spam
No da..today also i forgot..,Ham
Prabha..i'm soryda..realy..frm heart i'm sory,Ham
Tell me something. Thats okay.,Ham
"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",Ham
Jokin only lar... :-) depends on which phone my father can get lor...,Ham
How much for an eighth?,Ham
"Whatever, juliana. Do whatever you want.",Ham
I called and said all to him:)then he have to choose this future.,Ham
Dear good morning how you feeling dear,Ham
LOL ... Have you made plans for new years?,Ham
